participant_id,age,age_20_or_above,gender,race_ethnicity,first_generation,family_income_bracket,pell_grant,loan_status,dependent_care,institution_control,institution_selectivity,tuition_fees_thousand,major_group,commute_minutes,hs_gpa,english_proficiency,remedial_coursework,enrollment_status,enrollment_units,credits_attempted,credits_earned,course_completion_rate,off_campus_work_hours,high_work_intensity,oncampus_work_hours,total_work_hours,job_related_to_major,schedule_variability,schedule_control,study_hours_per_week,sleep_hours,fin_strain_pay_tuition,fin_strain_living_costs,fin_strain_food_housing,fin_strain_need_work_income,engage_study_effort,engage_class_attendance,engage_class_participation,engage_faculty_contact,engage_peer_learning,support_advising_quality,support_faculty_care,support_belonging,support_resource_use,efficacy_manage_time,efficacy_complete_assignments,efficacy_ask_for_help,efficacy_recover_setbacks,work_conflict_missed_study,work_conflict_schedule_overlap,work_conflict_tired_in_class,work_conflict_missed_campus,work_value_applies_learning,work_value_career_skills,work_value_professional_network,work_value_motivation,wellbeing_stress,wellbeing_exhaustion,wellbeing_sleep_problems,wellbeing_overwhelmed,financial_strain_index,academic_engagement_index,institution_support_index,self_efficacy_index,work_academic_conflict_index,work_career_value_index,mental_strain_index,term_gpa,cumulative_gpa,persistence_score,enrolled_next_year,not_persisted
17,18,0,man,hispanic_latino,0,middle,0,1,1,public,open_access,6.7,other,41,3.32,3.02,0,full_time,11.6,11.6,9.0,0.777,23,1,0,23,0,2,5,10.7,5.4,3,3,3,2,3,3,3,3,3,1,1,1,1,3,4,4,4,3,3,2,2,4,4,3,3,3,4,3,3,2.75,3.0,1.0,3.75,2.5,3.5,3.25,2.21,2.3,3.18,1,0
18,20,1,woman,asian,1,low,0,1,0,private_for_profit,moderately_selective,8.3,stem,50,3.02,3.96,1,full_time,12.8,12.8,9.6,0.752,28,1,8,36,1,3,2,10.4,6.2,5,4,3,5,3,3,3,2,5,3,2,2,3,2,3,2,3,3,2,3,3,3,3,3,4,4,3,5,5,4.25,3.2,2.5,2.5,2.75,3.25,4.25,2.62,2.35,2.88,0,1
19,22,1,man,multiracial_or_other,0,high,0,1,0,public,minimally_selective,4.0,arts_humanities,22,2.47,3.91,0,full_time,16.5,16.5,12.2,0.742,24,1,0,24,0,5,1,1.0,6.2,4,1,3,2,4,4,4,2,2,5,5,5,5,2,1,1,2,3,3,5,4,2,1,2,2,5,2,4,3,2.5,3.2,5.0,1.5,3.75,1.75,3.5,2.38,2.17,3.0,0,1
20,23,1,woman,white,0,high,0,1,0,public,moderately_selective,4.1,social_science,26,2.58,1.74,0,full_time,17.1,17.1,12.5,0.729,18,0,0,18,1,2,5,11.5,6.6,1,3,3,1,3,1,4,1,2,4,2,5,2,3,5,2,5,1,2,1,3,5,5,5,5,4,3,4,3,2.0,2.2,3.25,3.75,1.75,5.0,3.5,2.09,2.48,3.54,1,0
21,24,1,woman,white,0,middle,0,0,0,public,moderately_selective,6.9,health,88,3.04,4.57,0,full_time,16.3,16.3,12.5,0.765,30,1,0,30,1,4,4,7.9,5.8,2,2,3,3,5,3,3,3,2,1,1,1,2,5,3,5,4,3,4,3,3,3,4,3,5,4,3,5,5,2.5,3.2,1.25,4.25,3.25,3.75,4.25,2.64,2.64,3.36,0,1
22,18,0,man,white,1,middle,1,1,0,private_for_profit,open_access,8.5,health,21,3.7,5.0,0,full_time,13.9,13.9,13.9,1.0,15,0,0,15,0,2,2,12.9,7.2,3,3,4,4,5,5,3,5,4,2,3,3,2,4,4,5,4,3,2,2,1,3,2,2,1,2,1,2,4,3.5,4.4,2.5,4.25,2.0,2.0,2.25,3.77,3.7,3.69,1,0
23,23,1,woman,multiracial_or_other,0,middle,1,1,0,private_nonprofit,minimally_selective,5.0,stem,63,2.49,3.44,1,full_time,14.3,14.3,11.8,0.826,20,0,0,20,0,3,1,7.5,6.5,1,3,2,4,2,3,3,4,2,2,4,2,3,4,4,3,4,2,2,2,3,3,4,4,4,4,3,3,4,2.5,2.8,2.75,3.75,2.25,3.75,3.5,2.49,2.64,3.49,1,0
24,18,0,woman,white,0,middle,1,0,0,private_nonprofit,open_access,3.4,business,27,2.9,4.25,0,full_time,15.1,15.1,14.4,0.956,11,0,0,11,1,1,4,24.2,6.2,3,3,3,2,5,4,4,5,5,2,1,2,3,4,5,5,5,1,1,2,2,5,5,5,4,3,3,5,1,2.75,4.6,2.0,4.75,1.5,4.75,3.0,3.09,3.04,4.22,1,0
25,22,1,man,white,1,low,1,0,0,public,moderately_selective,7.7,social_science,42,2.74,4.6,1,part_time,11.9,11.9,7.0,0.589,26,1,0,26,0,5,2,1.2,6.2,4,4,4,5,2,3,2,3,3,2,4,3,3,3,2,1,2,5,4,3,4,2,1,2,2,2,5,4,4,4.25,2.6,3.0,2.0,4.0,1.75,3.75,2.04,1.71,3.03,0,1
26,18,0,woman,white,0,low,0,0,0,public,moderately_selective,5.5,social_science,35,1.59,3.64,0,full_time,10.3,10.3,5.5,0.531,36,1,7,43,0,5,2,1.0,4.3,3,3,3,3,1,2,3,2,2,2,4,2,4,2,4,4,2,5,5,5,5,2,3,1,1,5,5,5,5,3.0,2.0,3.0,3.0,5.0,1.75,5.0,0.7,1.14,2.24,0,1
27,19,0,woman,black,0,high,0,0,0,public,moderately_selective,5.0,other,26,3.65,4.18,0,full_time,12.1,12.1,12.1,1.0,20,0,0,20,0,5,2,16.1,5.5,4,3,2,5,5,5,5,5,5,5,5,4,5,4,4,4,3,3,3,3,3,2,3,4,3,2,2,2,2,3.5,5.0,4.75,3.75,3.0,3.0,2.0,4.0,3.94,4.27,1,0
28,21,1,nonbinary_or_other,asian,1,middle,0,1,0,public,moderately_selective,6.9,business,55,2.57,2.92,0,part_time,9.1,9.1,5.6,0.616,36,1,0,36,1,2,2,1.4,5.7,3,3,2,3,1,2,1,3,3,2,3,2,2,2,3,2,4,5,5,4,4,3,5,4,4,3,2,2,2,2.75,2.0,2.25,2.75,4.5,4.0,2.25,1.88,2.14,2.58,1,0
29,24,1,man,white,1,high,0,0,0,public,moderately_selective,6.3,arts_humanities,35,2.21,4.02,1,part_time,11.9,11.9,9.0,0.755,22,1,9,31,0,3,3,5.5,6.3,2,2,1,2,3,2,4,4,2,2,1,2,2,2,3,3,2,2,3,3,4,3,3,4,4,3,5,4,5,1.75,3.0,1.75,2.5,3.0,3.5,4.25,1.99,1.81,3.12,1,0
30,19,0,woman,white,0,low,1,0,0,public,minimally_selective,5.9,business,28,2.66,3.41,0,full_time,16.8,16.8,14.7,0.874,7,0,0,7,1,3,5,18.0,6.2,3,4,2,3,3,4,4,3,5,3,3,1,4,1,4,1,4,1,1,1,3,3,4,4,2,2,2,4,2,3.0,3.8,2.75,2.5,1.5,3.25,2.5,2.3,2.73,3.56,1,0
31,18,0,man,hispanic_latino,0,high,0,0,0,public,minimally_selective,6.1,health,27,3.13,4.05,0,full_time,11.5,11.5,11.5,1.0,19,0,0,19,1,2,4,9.9,7.1,2,3,1,2,4,4,4,4,4,5,3,3,4,5,4,5,3,1,1,2,1,3,5,5,4,2,2,2,1,2.0,4.0,3.75,4.25,1.25,4.25,1.75,3.74,3.46,4.56,1,0
32,18,0,man,white,1,low,0,1,0,public,open_access,6.3,business,38,3.08,3.38,0,full_time,14.1,14.1,10.5,0.748,30,1,0,30,1,3,2,2.1,5.5,3,4,2,4,3,4,3,2,4,3,1,2,3,1,1,1,3,5,5,5,5,3,4,3,4,3,5,3,4,3.25,3.2,2.25,1.5,5.0,3.5,3.75,2.91,2.79,3.41,1,0
33,18,0,woman,multiracial_or_other,0,high,0,0,0,private_nonprofit,moderately_selective,5.2,other,36,3.33,3.72,0,full_time,13.5,13.5,12.5,0.927,14,0,2,16,1,2,3,11.4,6.4,3,4,2,3,4,3,5,3,4,2,4,4,2,2,2,3,5,3,3,1,2,2,3,1,3,1,3,3,3,3.0,3.8,3.0,3.0,2.25,2.25,2.5,3.2,3.2,4.03,1,0
34,19,0,man,white,1,middle,1,1,0,public,open_access,3.9,other,12,2.65,3.54,1,part_time,11.8,11.8,9.5,0.809,26,1,6,32,0,2,3,7.1,7.1,4,3,3,4,3,3,3,4,5,4,4,5,4,2,1,1,1,2,2,2,2,4,3,4,4,3,2,4,3,3.5,3.6,4.25,1.25,2.0,3.75,3.0,1.91,2.26,3.55,0,1
35,38,1,man,black,1,low,1,1,1,public,minimally_selective,5.4,business,49,2.94,2.53,0,full_time,12.7,12.7,5.7,0.45,35,1,10,45,1,4,2,1.0,5.2,4,5,5,4,1,3,1,2,2,1,2,1,3,3,3,2,3,3,4,3,5,4,4,3,4,5,5,4,4,4.5,1.8,1.75,2.75,3.75,3.75,4.5,1.17,1.57,1.98,1,0
36,24,1,woman,white,1,low,0,0,0,private_nonprofit,moderately_selective,8.6,health,44,3.08,3.28,0,full_time,12.5,12.5,9.9,0.796,34,1,0,34,0,4,5,3.9,5.3,2,4,3,2,4,3,4,4,5,2,5,3,5,2,1,3,2,5,5,2,5,4,4,4,4,4,4,3,3,2.75,4.0,3.75,2.0,4.25,4.0,3.5,2.53,2.72,3.69,0,1
37,19,0,woman,hispanic_latino,1,middle,1,0,0,public,minimally_selective,5.7,stem,14,3.48,3.85,0,full_time,12.4,12.4,11.2,0.9,27,1,0,27,0,3,1,9.1,6.3,2,1,1,2,4,4,5,4,2,3,1,1,2,4,4,4,3,3,3,3,4,1,3,2,4,3,1,2,4,1.5,3.8,1.75,3.75,3.25,2.5,2.5,3.59,3.55,4.09,1,0
38,19,0,woman,white,0,middle,0,1,0,private_nonprofit,open_access,6.1,stem,20,2.74,3.22,1,full_time,10.2,10.2,9.6,0.938,5,0,0,5,0,1,4,15.3,6.5,2,2,3,2,2,3,4,1,4,4,2,2,3,2,3,4,3,2,2,1,1,3,2,3,3,5,3,3,2,2.25,2.8,2.75,3.0,1.5,2.75,3.25,2.58,2.67,3.2,1,0
39,21,1,nonbinary_or_other,multiracial_or_other,1,low,1,0,0,public,minimally_selective,4.4,other,54,2.74,2.71,1,full_time,16.3,16.3,13.2,0.807,29,1,0,29,1,4,3,5.8,5.6,3,4,3,1,4,2,3,4,2,4,3,4,3,3,1,3,4,4,3,2,4,5,5,5,4,5,4,3,3,2.75,3.0,3.5,2.75,3.25,4.75,3.75,2.98,2.94,3.47,0,1
40,21,1,woman,white,1,middle,1,0,1,public,moderately_selective,3.6,health,14,2.76,4.0,0,full_time,15.3,15.3,12.7,0.83,31,1,0,31,1,5,5,12.0,5.9,3,4,4,3,5,4,5,4,5,5,3,3,3,3,3,4,3,2,2,4,3,5,5,4,5,4,3,2,4,3.5,4.6,3.5,3.25,2.75,4.75,3.25,3.25,2.82,3.72,1,0
41,19,0,man,asian,0,low,1,0,0,public,minimally_selective,4.7,arts_humanities,36,2.73,4.14,0,full_time,13.1,13.1,10.4,0.797,12,0,10,22,0,2,3,7.3,6.6,4,3,4,2,2,3,3,3,4,4,4,4,3,5,3,2,5,2,4,2,4,2,3,3,3,2,3,2,4,3.25,3.0,3.75,3.75,3.0,2.75,2.75,2.72,2.67,3.54,0,1
42,18,0,man,hispanic_latino,0,high,0,0,1,private_nonprofit,minimally_selective,7.7,other,52,2.58,2.92,0,full_time,12.6,12.6,11.0,0.872,19,0,0,19,1,2,4,6.5,7.0,1,1,1,1,5,3,3,4,4,5,2,2,2,1,1,2,3,2,1,2,2,5,5,4,5,1,1,3,2,1.0,3.8,2.75,1.75,1.75,4.75,1.75,2.62,2.31,3.94,0,1
43,23,1,man,white,0,middle,0,0,0,public,open_access,7.0,social_science,19,3.76,3.42,0,full_time,18.0,18.0,18.0,1.0,11,0,2,13,0,1,4,16.1,7.2,2,3,1,3,5,3,5,5,4,4,5,3,3,3,3,4,3,1,1,2,1,2,2,3,3,3,3,1,3,2.25,4.4,3.75,3.25,1.25,2.5,2.5,3.7,3.6,4.37,1,0
44,18,0,woman,white,1,low,1,0,0,public,moderately_selective,6.1,social_science,44,2.7,2.92,0,part_time,10.7,10.7,6.3,0.59,22,1,0,22,1,4,3,1.2,5.4,5,3,5,5,2,4,1,3,2,5,1,4,2,1,1,1,2,2,3,1,2,4,3,2,4,5,4,5,4,4.5,2.4,3.0,1.25,2.0,3.25,4.5,0.98,1.57,2.53,0,1
45,24,1,woman,white,1,middle,1,1,0,public,open_access,4.2,arts_humanities,34,4.0,4.58,0,full_time,15.5,15.5,14.4,0.932,13,0,0,13,1,1,4,17.1,5.5,1,3,1,2,5,4,3,3,4,4,3,4,3,4,4,4,5,1,3,1,1,1,1,3,2,2,2,1,2,1.75,3.8,3.5,4.25,1.5,1.75,1.75,3.78,3.75,4.14,0,1
46,19,0,man,white,0,high,0,1,0,private_nonprofit,moderately_selective,6.5,health,16,2.53,1.89,0,full_time,15.7,15.7,15.7,1.0,19,0,0,19,1,2,4,10.5,6.8,1,1,1,1,5,4,4,5,3,5,4,4,4,4,3,5,2,2,2,1,1,3,5,5,2,1,1,2,3,1.0,4.2,4.25,3.5,1.5,3.75,1.75,3.26,2.85,4.35,1,0
47,21,1,woman,multiracial_or_other,1,high,0,1,0,public,open_access,2.9,stem,27,2.61,2.94,0,full_time,13.1,13.1,9.4,0.717,10,0,0,10,0,2,5,15.2,6.3,2,2,3,4,3,2,3,1,2,2,3,3,3,2,3,2,3,2,3,1,3,2,1,1,4,3,2,3,4,2.75,2.2,2.75,2.5,2.25,2.0,3.0,2.36,2.41,3.01,1,0
48,18,0,woman,white,1,low,1,1,0,public,minimally_selective,8.0,stem,48,1.77,3.18,0,part_time,13.8,13.8,6.2,0.45,29,1,0,29,0,2,3,1.0,4.6,3,3,2,4,2,3,1,3,1,1,1,2,1,1,1,1,1,3,3,4,3,4,3,4,3,5,4,5,5,3.0,2.0,1.25,1.0,3.25,3.5,4.75,0.55,1.4,2.16,0,1
49,21,1,man,hispanic_latino,1,low,1,0,1,public,minimally_selective,5.5,stem,24,3.74,4.11,1,part_time,11.6,11.6,9.7,0.838,22,1,0,22,1,4,5,13.3,6.6,3,4,5,3,3,4,3,4,3,4,2,2,3,4,4,4,5,3,2,4,4,3,4,2,3,1,2,2,2,3.75,3.4,2.75,4.25,3.25,3.0,1.75,3.64,3.89,3.75,1,0
50,19,0,woman,black,1,high,0,1,0,private_nonprofit,moderately_selective,7.1,other,23,3.38,4.14,0,full_time,13.2,13.2,13.2,1.0,14,0,0,14,0,3,1,14.7,6.7,2,1,2,4,4,5,4,5,5,1,3,2,2,4,3,5,5,1,1,3,3,4,3,4,4,2,3,4,3,2.25,4.6,2.0,4.25,2.0,3.75,3.0,3.28,3.54,4.42,1,0
51,18,0,woman,black,1,low,1,1,0,public,minimally_selective,8.2,arts_humanities,27,2.05,1.7,1,part_time,8.5,8.5,3.8,0.45,37,1,0,37,1,5,2,1.0,5.4,4,5,5,5,1,1,3,1,1,3,3,3,2,2,1,1,2,5,5,5,4,4,2,3,2,4,3,4,5,4.75,1.4,2.75,1.5,4.75,2.75,4.0,0.76,1.23,2.09,0,1
52,22,1,man,white,1,low,1,1,0,public,moderately_selective,6.2,arts_humanities,24,2.22,3.27,0,full_time,11.8,11.8,6.9,0.588,31,1,0,31,1,3,3,5.4,6.1,3,3,3,4,3,4,2,3,3,2,3,2,3,3,2,3,3,3,4,2,1,4,4,5,4,5,3,3,5,3.25,3.0,2.5,2.75,2.5,4.25,4.0,1.55,1.95,3.07,1,0
53,20,1,woman,asian,1,middle,0,0,0,public,moderately_selective,4.3,stem,80,3.38,2.86,1,full_time,9.6,9.6,7.7,0.807,28,1,2,30,1,5,1,9.1,7.0,4,1,4,2,4,5,4,4,5,4,3,5,3,5,5,5,4,4,5,5,5,5,4,4,3,4,2,5,3,2.75,4.4,3.75,4.75,4.75,4.0,3.5,3.53,3.43,4.14,1,0
54,24,1,woman,white,0,high,1,1,0,public,highly_selective,6.8,business,36,2.21,2.66,0,full_time,14.9,14.9,13.5,0.909,17,0,0,17,0,2,2,11.3,6.4,3,2,2,4,4,3,3,3,2,3,3,1,2,4,5,5,5,4,4,3,2,3,2,4,2,3,2,3,4,2.75,3.0,2.25,4.75,3.25,2.75,3.0,2.78,2.19,4.01,1,0
55,18,0,woman,hispanic_latino,1,high,1,1,0,private_for_profit,moderately_selective,8.8,social_science,29,2.36,3.04,1,part_time,9.0,9.0,7.8,0.863,34,1,5,39,1,3,4,13.6,5.7,5,3,5,5,5,5,4,4,3,3,5,2,4,5,2,4,3,3,2,5,3,5,3,4,5,5,5,4,5,4.5,4.2,3.5,3.5,3.25,4.25,4.75,2.17,2.42,3.88,0,1
56,18,0,woman,hispanic_latino,1,middle,1,1,0,public,minimally_selective,5.0,business,11,1.97,3.2,1,full_time,13.8,13.8,6.9,0.503,44,1,7,51,0,5,1,1.0,4.9,4,3,4,3,1,1,1,1,3,5,5,5,4,1,2,1,1,5,5,5,5,1,1,1,1,4,4,4,5,3.5,1.4,4.75,1.25,5.0,1.0,4.25,1.13,1.36,2.73,1,0
57,18,0,woman,hispanic_latino,0,high,1,1,1,public,moderately_selective,6.3,business,44,2.21,3.31,0,full_time,16.3,16.3,13.7,0.841,11,0,0,11,0,1,3,7.0,6.1,5,3,4,4,4,2,3,3,4,3,3,3,4,3,1,1,4,2,1,2,2,4,3,1,3,2,3,3,2,4.0,3.2,3.25,2.25,1.75,2.75,2.5,2.27,2.15,3.29,0,1
58,20,1,man,white,0,high,0,0,0,public,minimally_selective,6.3,business,27,2.74,4.02,0,full_time,16.9,16.9,16.9,1.0,11,0,0,11,0,1,3,7.6,7.1,2,2,1,4,2,4,5,5,3,4,4,3,3,5,5,3,4,3,2,4,2,4,4,3,3,2,1,1,4,2.25,3.8,3.5,4.25,2.75,3.5,2.0,3.64,3.07,4.23,1,0
59,19,0,man,multiracial_or_other,1,high,1,0,0,private_nonprofit,minimally_selective,6.0,arts_humanities,38,3.63,5.0,0,full_time,18.0,18.0,18.0,1.0,11,0,0,11,0,3,4,19.9,5.8,2,1,2,2,4,5,5,5,5,1,3,3,3,4,5,4,5,2,2,3,3,2,3,4,2,5,4,3,4,1.75,4.8,2.5,4.5,2.5,2.75,4.0,3.67,3.16,4.44,1,0
60,24,1,woman,black,1,low,1,0,0,public,moderately_selective,6.3,health,46,2.51,2.77,0,full_time,12.1,12.1,10.0,0.824,26,1,0,26,1,4,4,10.6,6.5,2,3,3,3,3,4,3,4,2,1,2,1,2,3,4,3,1,4,3,3,3,3,3,3,3,2,3,3,2,2.75,3.2,1.5,2.75,3.25,3.0,2.5,2.56,2.39,2.95,0,1
61,20,1,woman,hispanic_latino,0,middle,1,1,0,private_nonprofit,highly_selective,8.3,business,20,2.72,3.2,0,full_time,13.3,13.3,13.3,1.0,13,0,0,13,0,2,3,10.9,6.7,3,5,4,3,4,3,5,3,1,5,4,3,2,3,3,4,4,2,2,2,3,3,4,3,5,4,3,3,2,3.75,3.2,3.5,3.5,2.25,3.75,3.0,3.02,3.06,3.58,1,0
62,22,1,man,white,1,low,1,0,0,private_nonprofit,open_access,5.0,social_science,30,1.84,2.1,1,full_time,16.0,16.0,13.2,0.827,18,0,0,18,0,1,3,11.5,6.3,3,4,3,3,3,2,3,3,2,3,2,2,2,3,2,2,2,2,2,2,2,1,2,1,1,3,4,3,2,3.25,2.6,2.25,2.25,2.0,1.25,3.0,1.77,1.71,3.2,1,0
63,24,1,woman,white,1,middle,1,0,0,public,open_access,5.5,business,38,2.93,4.83,0,full_time,10.6,10.6,8.7,0.825,23,1,4,27,1,3,5,12.5,6.1,2,5,3,2,4,5,4,5,4,4,5,3,4,3,4,4,3,2,4,3,2,1,4,2,4,3,4,3,2,3.0,4.4,4.0,3.5,2.75,2.75,3.0,3.23,3.04,4.02,1,0
64,38,1,woman,white,1,low,1,1,0,public,moderately_selective,5.1,health,23,2.81,3.31,1,part_time,12.3,12.3,12.3,1.0,21,1,9,30,0,3,4,12.6,6.8,5,5,3,4,5,5,5,5,5,2,3,5,5,4,3,2,5,2,2,3,2,3,3,3,4,1,2,1,3,4.25,5.0,3.75,3.5,2.25,3.25,1.75,3.67,3.18,3.9,1,0
65,24,1,man,white,1,middle,1,0,0,public,moderately_selective,5.7,health,71,2.88,4.17,0,full_time,16.9,16.9,16.9,1.0,8,0,0,8,1,1,5,17.9,7.4,3,4,3,4,5,5,5,4,5,4,4,3,4,3,3,4,2,2,1,1,1,5,5,5,4,2,2,2,2,3.5,4.8,3.75,3.0,1.25,4.75,2.0,3.82,3.58,3.99,1,0
